attributeName,attributeDefinition,n,ECSO_ID
7.12,Recorded temperature in celsius by the logger at 7.12 meters depth,1,
7.13,Recorded dissolved oxygen in milligrams per liter by the logger at 7.13 meters depth,1,
7.15,Recorded temperature in celsius by the logger at 7.15 meters depth,1,
7.19,Recorded specific conductance in micro-Siemens per centimeter by the logger at 7.19 meters depth,1,
7.23,Recorded temperature in celsius by the logger at 7.23 meters depth,1,
7.52,Recorded specific conductance in micro-Siemens per centimeter by the logger at 7.52 meters depth,1,
7.52,Recorded temperature in celsius by the logger at 7.52 meters depth,1,
7.54,Recorded temperature in celsius by the logger at 7.54 meters depth,1,
7.62,Recorded temperature in celsius by the logger at 7.62 meters depth,1,
7.67,Recorded temperature in celsius by the logger at 7.67 meters depth,1,
7.7,Recorded dissolved oxygen in milligrams per liter by the logger at 7.7 meters depth,1,
7.76,Recorded specific conductance in micro-Siemens per centimeter by the logger at 7.76 meters depth,1,
7.77,Recorded dissolved oxygen in milligrams per liter by the logger at 7.77 meters depth,1,
7.86,Recorded temperature in celsius by the logger at 7.86 meters depth,1,
7.87,Recorded specific conductance in micro-Siemens per centimeter by the logger at 7.87 meters depth,1,
7.87,Recorded temperature in celsius by the logger at 7.87 meters depth,1,
7.9,Recorded temperature in celsius by the logger at 7.9 meters depth,1,
8.02,Recorded dissolved oxygen in milligrams per liter by the logger at 8.02 meters depth,1,
8.03,Recorded temperature in celsius by the logger at 8.03 meters depth,1,
8.05,Recorded temperature in celsius by the logger at 8.05 meters depth,1,
8.07,Recorded temperature in celsius by the logger at 8.07 meters depth,1,
8.12,Recorded temperature in celsius by the logger at 8.12 meters depth,1,
8.15,Recorded temperature in celsius by the logger at 8.15 meters depth,1,
8.22,Recorded specific conductance in micro-Siemens per centimeter by the logger at 8.22 meters depth,1,
8.22,Recorded temperature in celsius by the logger at 8.22 meters depth,1,
8.23,Recorded temperature in celsius by the logger at 8.23 meters depth,1,
8.32,Recorded temperature in celsius by the logger at 8.32 meters depth,1,
8.33,Recorded temperature in celsius by the logger at 8.33 meters depth,1,
8.35,Recorded dissolved oxygen in milligrams per liter by the logger at 8.35 meters depth,1,
8.4,Recorded dissolved oxygen in milligrams per liter by the logger at 8.4 meters depth,1,
8.45,Recorded dissolved oxygen in milligrams per liter by the logger at 8.45 meters depth,1,
8.55,Recorded temperature in celsius by the logger at 8.55 meters depth,1,
8.59,Recorded temperature in celsius by the logger at 8.59 meters depth,1,
8.67,Recorded temperature in celsius by the logger at 8.67 meters depth,1,
8.76,Recorded specific conductance in micro-Siemens per centimeter by the logger at 8.76 meters depth,1,
8.79,Recorded dissolved oxygen in milligrams per liter by the logger at 8.79 meters depth,1,
8.8,Recorded temperature in celsius by the logger at 8.8 meters depth,1,
8.87,Recorded temperature in celsius by the logger at 8.87 meters depth,1,
8.89,Recorded temperature in celsius by the logger at 8.89 meters depth,1,
8.9,Recorded temperature in celsius by the logger at 8.9 meters depth,1,
9.02,Recorded temperature in celsius by the logger at 9.02 meters depth,1,
9.03,Recorded dissolved oxygen in milligrams per liter by the logger at 9.03 meters depth,1,
9.04,Recorded temperature in celsius by the logger at 9.04 meters depth,1,
9.05,Recorded temperature in celsius by the logger at 9.05 meters depth,1,
9.08,Recorded specific conductance in micro-Siemens per centimeter by the logger at 9.08 meters depth,1,
9.15,Recorded temperature in celsius by the logger at 9.15 meters depth,1,
9.18,Recorded dissolved oxygen in milligrams per liter by the logger at 9.18 meters depth,1,
9.21,Recorded specific conductance in micro-Siemens per centimeter by the logger at 9.21 meters depth,1,
9.22,Recorded temperature in celsius by the logger at 9.22 meters depth,1,
9.25,Recorded specific conductance in micro-Siemens per centimeter by the logger at 9.25 meters depth,1,
9.3,Recorded temperature in celsius by the logger at 9.3 meters depth,1,
9.4,Recorded temperature in celsius by the logger at 9.4 meters depth,1,
9.64,Recorded temperature in celsius by the logger at 9.64 meters depth,1,
9.66,Recorded specific conductance in micro-Siemens per centimeter by the logger at 9.66 meters depth,1,
9.67,Recorded temperature in celsius by the logger at 9.67 meters depth,1,
9.8,Recorded temperature in celsius by the logger at 9.8 meters depth,1,
9.84,Recorded temperature in celsius by the logger at 9.84 meters depth,1,
9.86,Recorded temperature in celsius by the logger at 9.86 meters depth,1,
9.87,Recorded dissolved oxygen in milligrams per liter by the logger at 9.87 meters depth,1,
9.87,Recorded temperature in celsius by the logger at 9.87 meters depth,1,
9.92,Recorded temperature in celsius by the logger at 9.92 meters depth,1,
9.94,Recorded temperature in celsius by the logger at 9.94 meters depth,1,
Abbrev,"4 letter abbreviation for species; first two letters of family followed by first two letters of species. Exceptions are unknowns, which are abbreviated UL# for unknown lichen, and UM# for unknown moss, those sorted to functional group (GRAM = graminoid).",1,
ABSOLUTE_HEIGHT,Absolute logger height,1,
Abundance,number of invertebrate species observed,1,
AC,Blowing snow accumulation,1,
acetylene_numflag,Data flag for acetylene,1,
ACROCARPOUS_BRYO.,Acrocarpous bryo.cover in %,1,
active_layer_depth,Depth active layer starts. Where cores were taken from,1,
activity,"0-5 activity scale. 0-No apparent present or past thermokarst impact_
1-Stabilized and revegetated, vegetated stream bed (clear outflow)
2-Limited thermo-degradation, cobble stream bed (clear outflow)
3-Moderate thermo-degradation with (somewhat turbid outflow) 
4-Active thermo-degradation, (turbid outflow)_
5-Very active thermo-degradation (totally turbid outflow)
",1,
actual bottom (cm),Adjusts frozen core depth by adding thaw depth and accoutning for when sections are split to accurately place sample in the soil profile,1,
actual top (cm),Adjusts frozen core depth by adding thaw depth and accoutning for when sections are split to accurately place sample in the soil profile,1,
ad1_band,band number,1,
ad1_eng_flag,Engraved flag code for the first adult,1,
ad1_original_band,Band identifier for first adult,1,
"ad1_UL, ad1_LL, ad1_UR, ad1_LR","Color combination on upper left, lower left, upper right, and lower right leg for the first adult attending the nest",1,
ad2_band,band number,1,
ad2_eng_flag,Engraved flag code for the first adult,1,
ad2_original_band,Band identifier for second adult,1,
"ad2_UL, ad2_LL, ad2_UR, ad2_LR","Color combination on upper left, lower left, upper right, and lower right leg for the first adult attending the nest",1,
adBlood,number of parents from which blood was sampled,1,
Adult_band_end,"End date of adult shorebird banding (i.e., date last adult banded)",1,
Adult_band_interval,Adult banding interval,1,
Adult_band_start,"Start date of adult shorebird banding (i.e., date first adult banded)",1,
Adult_survival,Adult survival methods,1,
aer_dof200,Degrees of freedom for (0-200m) aerosol retrieval,1,
aer_dofs_fine,Total degrees of freedom for the column (0-4km) aerosol retrieval using the fine grid described in the readme,1,
Ag_nmol.kg,"Concentration of silver ion in Lake 129 water sample, measured in nanomoles per kilogram of water",1,
Ag_nmol.kg,"Concentration of silver ion in Lake 520 water sample, measured in nanomoles per kilogram of water",1,
Ag_nmol.kg,"Concentration of silver ion in Lake 56 water sample, measured in nanomoles per kilogram of water",1,
Ag_nmol.kg,"Concentration of silver ion in Manta Lake  water sample, measured in nanomoles per kilogram of water",1,
Ag_nmol.kg,"Concentration of silver ion in North Head site 1  water sample, measured in nanomoles per kilogram of water",1,
Ag_nmol.kg,"Concentration of silver ion in North Head site 2  water sample, measured in nanomoles per kilogram of water",1,
Ag_nmol.kg,"Concentration of silver ion in Swiss Cheese Lake site 1  water sample, measured in nanomoles per kilogram of water",1,
Ag_nmol.kg,"Concentration of silver ion in Swiss Cheese Lake site 2  water sample, measured in nanomoles per kilogram of water",1,
AGC_ID,Alaska Geobotany Center ID,1,
AGD3,Normalized signal intensity of gene involved in biogeochemical cycling of nutrients in arctic soils detected with the GeoChip5 at site AGD3,1,
age,Age of reindeer from which collection was drawn,1,
Age,Age of bird as recorded in the field.,1,
Age_base,Age from base of sampe in years before present,1,
age_calBP,"Age, as in how many years before present (current year)",1,
age_calBP,"Age, in calendar years before present.",1,
Age_KY,age in ky (Age years/1000)  Cal BP,1,
Age_KY_cal_BP,calibrated kiloyears before present,1,
Age_method,Method used to determine bird's age in the field,1,
Age_midpoint,Age from midpoint of sample in years before present,1,
Age_years_cal_BP,calibrated years before present,1,
ageCode,Age classification of reindeer,1,
ageMethod,method of aging,1,
AGM8,Normalized signal intensity of gene involved in biogeochemical cycling of nutrients in arctic soils detected with the GeoChip5 at site AGM8,1,
AGU9,Normalized signal intensity of gene involved in biogeochemical cycling of nutrients in arctic soils detected with the GeoChip5 at site AGU9,1,
AI_sample_num,Avian influenza sample number if applicable,1,
AI_sample_type,"Type of sample taken for avian influenca, if applicable.",1,
AI_swab,Whether cloaca was swabbed for avian influenza testing,1,
Air T,Air temperature at 3.5 m AGL,1,
Air Temp,Air temperature,1,
Air Temperature C,Air Temperature C,1,
Air_T_AVG,Air temperature,1,
Air_T_AVG  L,Air temperature,1,
air_temp,air temperature,1,
Air_Temp,Air temperature at the time of measurement,1,
Air_Temp,Air temperature measured in degrees celsius.,1,
Air_Temp,Empty (-999) - space for future interpolated air temperature,1,
Air_temp_error,Empty (-9.9) - space for future Air Temp error variance,1,
Air_temperature,Air Temperature measured 10 cm above ground,1,
Air_Temperature,Air temperature measured in degrees celsius.,1,
airPress_Avg,Air pressure,1,
AirTC_Avg,Air temperature,1,
AirTC_Avg,air temperature (C),1,
AirTC_Avg,Air temperature averaged over 30 minutes (C),1,
airtemp_2m_C,Air temperature measured at 2m height,1,
Al,Aluminum (Mehlich III extractable elements),1,
Al,The amount of aluminum,1,
Al,Total Concentration of Aluminum,1,
Al,total soil Al mg Al/kg soil,1,
AL,Albedo,1,
Al_nmol.kg,"Concentration of aluminum ion in Lake 129 water sample, measured in nanomoles per kilogram of water",1,
Al_nmol.kg,"Concentration of aluminum ion in Lake 520 water sample, measured in nanomoles per kilogram of water",1,
Al_nmol.kg,"Concentration of aluminum ion in Lake 56 water sample, measured in nanomoles per kilogram of water",1,
Al_nmol.kg,"Concentration of aluminum ion in Manta Lake  water sample, measured in nanomoles per kilogram of water",1,
Al_nmol.kg,"Concentration of aluminum ion in North Head site 1  water sample, measured in nanomoles per kilogram of water",1,
Al_nmol.kg,"Concentration of aluminum ion in North Head site 2  water sample, measured in nanomoles per kilogram of water",1,
Al_nmol.kg,"Concentration of aluminum ion in Swiss Cheese Lake site 1  water sample, measured in nanomoles per kilogram of water",1,
Al_nmol.kg,"Concentration of aluminum ion in Swiss Cheese Lake site 2  water sample, measured in nanomoles per kilogram of water",1,
AL1,Albedo (Tot Refl/Tot Inc),1,
AL2,Albedo,1,
ALB,"Albedo, range 0-100",1,
albedo,albedo percentage,1,
Albedo,Surface albedo from short-wave surface reflectance,1,
Albedo_Avg,Albedo,1,
ALBS,Albedo,1,
ALD7,Normalized signal intensity of gene involved in biogeochemical cycling of nutrients in arctic soils detected with the GeoChip5 at site ALD7,1,
"Alder_Flycatcher, Aleutian_Tern...","The number of individuals seen is recorded for each species, except when individuals were not counted but the species was present (typically for very abundant species), an ""X"" is shown. The remaining columns list the full-name of species (birds and mammals) recorded for at least study site in at least one year.",1,
ALH,Hourly Albedo,1,
Alk_ueqL,Total alkalinity (carbonate and non-carbonate alkalinity),1,
Alkalinity_mmol.kg,"level of alkalinity in Lake 129 water sample under fast flow conditions, measured in millimoles per kilogram of water",1,
Alkalinity_mmol.kg,"level of alkalinity in Lake 129 water sample, measured in millimoles per kilogram of water",1,
Alkalinity_mmol.kg,"level of alkalinity in Lake 520 water sample, measured in millimoles per kilogram of water",1,
Alkalinity_mmol.kg,"level of alkalinity in Lake 56 water sample, measured in millimoles per kilogram of water",1,
